exp_key,ds_name,train_samples,train_dim,test_samples,test_dim,hc_name,fold,algo_name,J,hc_cat_encoder,other_cat_encoder,measure,performance
NeuralNet_Crime_Crm Cd Desc_0_12_pca,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,pca,one-hot,AUC,0.6993489325632691
NeuralNet_Crime_Crm Cd Desc_0_12_pca,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,pca,one-hot,Accuracy,0.7703688517588368
NeuralNet_Crime_Crm Cd Desc_0_12_pca,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,pca,one-hot,Precision,0.8451351848445834
NeuralNet_Crime_Crm Cd Desc_0_12_pca,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,pca,one-hot,Recall,0.8457379500747728
NeuralNet_Crime_Crm Cd Desc_0_12_pca,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,pca,one-hot,F1,0.8454364600223089
NeuralNet_Crime_Crm Cd Desc_0_12_pca,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,pca,one-hot,Aver_precision,0.829313665000954
NeuralNet_Crime_Crm Cd Desc_0_12_pca,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,pca,one-hot,Balanced_accuracy,0.6993489325632691
NeuralNet_Crime_Crm Cd Desc_0_12_pca,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,pca,one-hot,train_time(s),2359.9678857326508
NeuralNet_Crime_Crm Cd Desc_0_12_pca,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,pca,one-hot,pred_time(s),0.47074174880981445
NeuralNet_Crime_Crm Cd Desc_0_12_mhe,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,mhe,one-hot,AUC,0.6876843825075701
NeuralNet_Crime_Crm Cd Desc_0_12_mhe,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,mhe,one-hot,Accuracy,0.7538824252985495
NeuralNet_Crime_Crm Cd Desc_0_12_mhe,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,mhe,one-hot,Precision,0.8412042364323791
NeuralNet_Crime_Crm Cd Desc_0_12_mhe,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,mhe,one-hot,Recall,0.824134360980099
NeuralNet_Crime_Crm Cd Desc_0_12_mhe,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,mhe,one-hot,F1,0.8325818148010414
NeuralNet_Crime_Crm Cd Desc_0_12_mhe,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,mhe,one-hot,Aver_precision,0.8238583146671287
NeuralNet_Crime_Crm Cd Desc_0_12_mhe,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,mhe,one-hot,Balanced_accuracy,0.68768438250757
NeuralNet_Crime_Crm Cd Desc_0_12_mhe,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,mhe,one-hot,train_time(s),2801.1588525772095
NeuralNet_Crime_Crm Cd Desc_0_12_mhe,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,mhe,one-hot,pred_time(s),0.5375618934631348
NeuralNet_Crime_Crm Cd Desc_1_12_pca,Crime,136577.0,1856.0,58533.0,1856.0,Crm Cd Desc,1.0,NeuralNet,12.0,pca,one-hot,AUC,0.6843084471082829
NeuralNet_Crime_Crm Cd Desc_1_12_pca,Crime,136577.0,1856.0,58533.0,1856.0,Crm Cd Desc,1.0,NeuralNet,12.0,pca,one-hot,Accuracy,0.7657902379854099
NeuralNet_Crime_Crm Cd Desc_1_12_pca,Crime,136577.0,1856.0,58533.0,1856.0,Crm Cd Desc,1.0,NeuralNet,12.0,pca,one-hot,Precision,0.8344417141955409
NeuralNet_Crime_Crm Cd Desc_1_12_pca,Crime,136577.0,1856.0,58533.0,1856.0,Crm Cd Desc,1.0,NeuralNet,12.0,pca,one-hot,Recall,0.853273397879207
NeuralNet_Crime_Crm Cd Desc_1_12_pca,Crime,136577.0,1856.0,58533.0,1856.0,Crm Cd Desc,1.0,NeuralNet,12.0,pca,one-hot,F1,0.8437524931900294
NeuralNet_Crime_Crm Cd Desc_1_12_pca,Crime,136577.0,1856.0,58533.0,1856.0,Crm Cd Desc,1.0,NeuralNet,12.0,pca,one-hot,Aver_precision,0.8207489939226695
NeuralNet_Crime_Crm Cd Desc_1_12_pca,Crime,136577.0,1856.0,58533.0,1856.0,Crm Cd Desc,1.0,NeuralNet,12.0,pca,one-hot,Balanced_accuracy,0.684308447108283
NeuralNet_Crime_Crm Cd Desc_1_12_pca,Crime,136577.0,1856.0,58533.0,1856.0,Crm Cd Desc,1.0,NeuralNet,12.0,pca,one-hot,train_time(s),2140.755234479904
NeuralNet_Crime_Crm Cd Desc_1_12_pca,Crime,136577.0,1856.0,58533.0,1856.0,Crm Cd Desc,1.0,NeuralNet,12.0,pca,one-hot,pred_time(s),0.4557535648345947
NeuralNet_Crime_Crm Cd Desc_1_12_mhe,Crime,136577.0,1856.0,58533.0,1856.0,Crm Cd Desc,1.0,NeuralNet,12.0,mhe,one-hot,AUC,0.6829768176494638
NeuralNet_Crime_Crm Cd Desc_1_12_mhe,Crime,136577.0,1856.0,58533.0,1856.0,Crm Cd Desc,1.0,NeuralNet,12.0,mhe,one-hot,Accuracy,0.7539507628175559
NeuralNet_Crime_Crm Cd Desc_1_12_mhe,Crime,136577.0,1856.0,58533.0,1856.0,Crm Cd Desc,1.0,NeuralNet,12.0,mhe,one-hot,Precision,0.8365934116991126
NeuralNet_Crime_Crm Cd Desc_1_12_mhe,Crime,136577.0,1856.0,58533.0,1856.0,Crm Cd Desc,1.0,NeuralNet,12.0,mhe,one-hot,Recall,0.83015214384509
NeuralNet_Crime_Crm Cd Desc_1_12_mhe,Crime,136577.0,1856.0,58533.0,1856.0,Crm Cd Desc,1.0,NeuralNet,12.0,mhe,one-hot,F1,0.8333603313817602
NeuralNet_Crime_Crm Cd Desc_1_12_mhe,Crime,136577.0,1856.0,58533.0,1856.0,Crm Cd Desc,1.0,NeuralNet,12.0,mhe,one-hot,Aver_precision,0.8203775242584344
NeuralNet_Crime_Crm Cd Desc_1_12_mhe,Crime,136577.0,1856.0,58533.0,1856.0,Crm Cd Desc,1.0,NeuralNet,12.0,mhe,one-hot,Balanced_accuracy,0.6829768176494637
NeuralNet_Crime_Crm Cd Desc_1_12_mhe,Crime,136577.0,1856.0,58533.0,1856.0,Crm Cd Desc,1.0,NeuralNet,12.0,mhe,one-hot,train_time(s),2305.1564910411835
NeuralNet_Crime_Crm Cd Desc_1_12_mhe,Crime,136577.0,1856.0,58533.0,1856.0,Crm Cd Desc,1.0,NeuralNet,12.0,mhe,one-hot,pred_time(s),0.47871947288513184
NeuralNet_Crime_Crm Cd Desc_2_12_pca,Crime,136577.0,1853.0,58533.0,1853.0,Crm Cd Desc,2.0,NeuralNet,12.0,pca,one-hot,AUC,0.6906194882583505
NeuralNet_Crime_Crm Cd Desc_2_12_pca,Crime,136577.0,1853.0,58533.0,1853.0,Crm Cd Desc,2.0,NeuralNet,12.0,pca,one-hot,Accuracy,0.7600498863888746
NeuralNet_Crime_Crm Cd Desc_2_12_pca,Crime,136577.0,1853.0,58533.0,1853.0,Crm Cd Desc,2.0,NeuralNet,12.0,pca,one-hot,Precision,0.8423082284068206
NeuralNet_Crime_Crm Cd Desc_2_12_pca,Crime,136577.0,1853.0,58533.0,1853.0,Crm Cd Desc,2.0,NeuralNet,12.0,pca,one-hot,Recall,0.8332299207169941
NeuralNet_Crime_Crm Cd Desc_2_12_pca,Crime,136577.0,1853.0,58533.0,1853.0,Crm Cd Desc,2.0,NeuralNet,12.0,pca,one-hot,F1,0.837744480770786
