exp_key,ds_name,train_samples,train_dim,test_samples,test_dim,hc_name,fold,algo_name,J,hc_cat_encoder,other_cat_encoder,measure,performance,hc_cardinality,hc_card_rank,hc_samples_per_cat,hc_na_ratio,hc_positve_ratio,hc_mdi_imp,hc_perm_imp,hc_mdi_imp_rank,hc_mdi_imp_rank_cat,hc_perm_imp_rank,hc_perm_imp_rank_cat
NeuralNet_Crime_Crm Cd Desc_0_12_pca,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,pca,one-hot,AUC,0.6993489325632691,136.0,4.0,1434.6323529411766,0.0,0.7411818973912152,0.2256612787966169,0.1474265798780175,1.0,1.0,1.0,1.0
NeuralNet_Crime_Crm Cd Desc_0_12_pca,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,pca,one-hot,Accuracy,0.7703688517588368,136.0,4.0,1434.6323529411766,0.0,0.7411818973912152,0.2256612787966169,0.1474265798780175,1.0,1.0,1.0,1.0
NeuralNet_Crime_Crm Cd Desc_0_12_pca,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,pca,one-hot,Precision,0.8451351848445834,136.0,4.0,1434.6323529411766,0.0,0.7411818973912152,0.2256612787966169,0.1474265798780175,1.0,1.0,1.0,1.0
NeuralNet_Crime_Crm Cd Desc_0_12_pca,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,pca,one-hot,Recall,0.8457379500747728,136.0,4.0,1434.6323529411766,0.0,0.7411818973912152,0.2256612787966169,0.1474265798780175,1.0,1.0,1.0,1.0
NeuralNet_Crime_Crm Cd Desc_0_12_pca,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,pca,one-hot,F1,0.8454364600223089,136.0,4.0,1434.6323529411766,0.0,0.7411818973912152,0.2256612787966169,0.1474265798780175,1.0,1.0,1.0,1.0
NeuralNet_Crime_Crm Cd Desc_0_12_pca,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,pca,one-hot,Aver_precision,0.8293136650009542,136.0,4.0,1434.6323529411766,0.0,0.7411818973912152,0.2256612787966169,0.1474265798780175,1.0,1.0,1.0,1.0
NeuralNet_Crime_Crm Cd Desc_0_12_pca,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,pca,one-hot,Balanced_accuracy,0.6993489325632691,136.0,4.0,1434.6323529411766,0.0,0.7411818973912152,0.2256612787966169,0.1474265798780175,1.0,1.0,1.0,1.0
NeuralNet_Crime_Crm Cd Desc_0_12_pca,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,pca,one-hot,train_time(s),2359.967885732651,136.0,4.0,1434.6323529411766,0.0,0.7411818973912152,0.2256612787966169,0.1474265798780175,1.0,1.0,1.0,1.0
NeuralNet_Crime_Crm Cd Desc_0_12_pca,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,pca,one-hot,pred_time(s),0.4707417488098145,136.0,4.0,1434.6323529411766,0.0,0.7411818973912152,0.2256612787966169,0.1474265798780175,1.0,1.0,1.0,1.0
NeuralNet_Crime_Crm Cd Desc_0_12_mhe,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,mhe,one-hot,AUC,0.6876843825075701,136.0,4.0,1434.6323529411766,0.0,0.7411818973912152,0.2256612787966169,0.1474265798780175,1.0,1.0,1.0,1.0
NeuralNet_Crime_Crm Cd Desc_0_12_mhe,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,mhe,one-hot,Accuracy,0.7538824252985495,136.0,4.0,1434.6323529411766,0.0,0.7411818973912152,0.2256612787966169,0.1474265798780175,1.0,1.0,1.0,1.0
NeuralNet_Crime_Crm Cd Desc_0_12_mhe,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,mhe,one-hot,Precision,0.8412042364323791,136.0,4.0,1434.6323529411766,0.0,0.7411818973912152,0.2256612787966169,0.1474265798780175,1.0,1.0,1.0,1.0
NeuralNet_Crime_Crm Cd Desc_0_12_mhe,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,mhe,one-hot,Recall,0.8241343609800992,136.0,4.0,1434.6323529411766,0.0,0.7411818973912152,0.2256612787966169,0.1474265798780175,1.0,1.0,1.0,1.0
NeuralNet_Crime_Crm Cd Desc_0_12_mhe,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,mhe,one-hot,F1,0.8325818148010414,136.0,4.0,1434.6323529411766,0.0,0.7411818973912152,0.2256612787966169,0.1474265798780175,1.0,1.0,1.0,1.0
NeuralNet_Crime_Crm Cd Desc_0_12_mhe,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,mhe,one-hot,Aver_precision,0.8238583146671287,136.0,4.0,1434.6323529411766,0.0,0.7411818973912152,0.2256612787966169,0.1474265798780175,1.0,1.0,1.0,1.0
NeuralNet_Crime_Crm Cd Desc_0_12_mhe,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,mhe,one-hot,Balanced_accuracy,0.6876843825075699,136.0,4.0,1434.6323529411766,0.0,0.7411818973912152,0.2256612787966169,0.1474265798780175,1.0,1.0,1.0,1.0
NeuralNet_Crime_Crm Cd Desc_0_12_mhe,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,mhe,one-hot,train_time(s),2801.158852577209,136.0,4.0,1434.6323529411766,0.0,0.7411818973912152,0.2256612787966169,0.1474265798780175,1.0,1.0,1.0,1.0
NeuralNet_Crime_Crm Cd Desc_0_12_mhe,Crime,136577.0,1859.0,58533.0,1859.0,Crm Cd Desc,0.0,NeuralNet,12.0,mhe,one-hot,pred_time(s),0.5375618934631348,136.0,4.0,1434.6323529411766,0.0,0.7411818973912152,0.2256612787966169,0.1474265798780175,1.0,1.0,1.0,1.0
NeuralNet_Crime_Crm Cd Desc_1_12_pca,Crime,136577.0,1856.0,58533.0,1856.0,Crm Cd Desc,1.0,NeuralNet,12.0,pca,one-hot,AUC,0.6843084471082829,136.0,4.0,1434.6323529411766,0.0,0.7411818973912152,0.2256612787966169,0.1474265798780175,1.0,1.0,1.0,1.0
NeuralNet_Crime_Crm Cd Desc_1_12_pca,Crime,136577.0,1856.0,58533.0,1856.0,Crm Cd Desc,1.0,NeuralNet,12.0,pca,one-hot,Accuracy,0.7657902379854099,136.0,4.0,1434.6323529411766,0.0,0.7411818973912152,0.2256612787966169,0.1474265798780175,1.0,1.0,1.0,1.0
NeuralNet_Crime_Crm Cd Desc_1_12_pca,Crime,136577.0,1856.0,58533.0,1856.0,Crm Cd Desc,1.0,NeuralNet,12.0,pca,one-hot,Precision,0.8344417141955409,136.0,4.0,1434.6323529411766,0.0,0.7411818973912152,0.2256612787966169,0.1474265798780175,1.0,1.0,1.0,1.0
