exp_key,ds_name,train_samples,train_dim,test_samples,test_dim,hc_name,fold,algo_name,J,hc_cat_encoder,other_cat_encoder,measure,performance
NeuralNet_H1BVisa_SOC_NAME_0_76_pca,H1BVisa,21000.0,2599.0,9000.0,2599.0,SOC_NAME,0.0,NeuralNet,76.0,pca,one-hot,AUC,0.5412684817376983
NeuralNet_H1BVisa_SOC_NAME_0_76_pca,H1BVisa,21000.0,2599.0,9000.0,2599.0,SOC_NAME,0.0,NeuralNet,76.0,pca,one-hot,Accuracy,0.5952222222222222
NeuralNet_H1BVisa_SOC_NAME_0_76_pca,H1BVisa,21000.0,2599.0,9000.0,2599.0,SOC_NAME,0.0,NeuralNet,76.0,pca,one-hot,Precision,0.6890522875816993
NeuralNet_H1BVisa_SOC_NAME_0_76_pca,H1BVisa,21000.0,2599.0,9000.0,2599.0,SOC_NAME,0.0,NeuralNet,76.0,pca,one-hot,Recall,0.7079066644284036
NeuralNet_H1BVisa_SOC_NAME_0_76_pca,H1BVisa,21000.0,2599.0,9000.0,2599.0,SOC_NAME,0.0,NeuralNet,76.0,pca,one-hot,F1,0.698352239794651
NeuralNet_H1BVisa_SOC_NAME_0_76_pca,H1BVisa,21000.0,2599.0,9000.0,2599.0,SOC_NAME,0.0,NeuralNet,76.0,pca,one-hot,Aver_precision,0.6811180398520552
NeuralNet_H1BVisa_SOC_NAME_0_76_pca,H1BVisa,21000.0,2599.0,9000.0,2599.0,SOC_NAME,0.0,NeuralNet,76.0,pca,one-hot,Balanced_accuracy,0.5412684817376983
NeuralNet_H1BVisa_SOC_NAME_0_76_pca,H1BVisa,21000.0,2599.0,9000.0,2599.0,SOC_NAME,0.0,NeuralNet,76.0,pca,one-hot,train_time(s),618.0326092243195
NeuralNet_H1BVisa_SOC_NAME_0_76_pca,H1BVisa,21000.0,2599.0,9000.0,2599.0,SOC_NAME,0.0,NeuralNet,76.0,pca,one-hot,pred_time(s),0.10068893432617188
NeuralNet_H1BVisa_SOC_NAME_0_76_mhe,H1BVisa,21000.0,2599.0,9000.0,2599.0,SOC_NAME,0.0,NeuralNet,76.0,mhe,one-hot,AUC,0.5273365075405396
NeuralNet_H1BVisa_SOC_NAME_0_76_mhe,H1BVisa,21000.0,2599.0,9000.0,2599.0,SOC_NAME,0.0,NeuralNet,76.0,mhe,one-hot,Accuracy,0.6094444444444445
NeuralNet_H1BVisa_SOC_NAME_0_76_mhe,H1BVisa,21000.0,2599.0,9000.0,2599.0,SOC_NAME,0.0,NeuralNet,76.0,mhe,one-hot,Precision,0.6779364616729816
NeuralNet_H1BVisa_SOC_NAME_0_76_mhe,H1BVisa,21000.0,2599.0,9000.0,2599.0,SOC_NAME,0.0,NeuralNet,76.0,mhe,one-hot,Recall,0.7809299983213027
NeuralNet_H1BVisa_SOC_NAME_0_76_mhe,H1BVisa,21000.0,2599.0,9000.0,2599.0,SOC_NAME,0.0,NeuralNet,76.0,mhe,one-hot,F1,0.7257976441220063
NeuralNet_H1BVisa_SOC_NAME_0_76_mhe,H1BVisa,21000.0,2599.0,9000.0,2599.0,SOC_NAME,0.0,NeuralNet,76.0,mhe,one-hot,Aver_precision,0.6744209198762314
