exp_key,ds_name,train_samples,train_dim,test_samples,test_dim,hc_name,fold,algo_name,J,hc_cat_encoder,other_cat_encoder,measure,performance
NeuralNet_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,NeuralNet,4.0,pca,one-hot,AUC,0.7543627694344462
NeuralNet_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,NeuralNet,4.0,pca,one-hot,Accuracy,0.8377806592506654
NeuralNet_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,NeuralNet,4.0,pca,one-hot,Precision,0.6767411300919842
NeuralNet_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,NeuralNet,4.0,pca,one-hot,Recall,0.5965826817260353
NeuralNet_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,NeuralNet,4.0,pca,one-hot,F1,0.6341388333076805
NeuralNet_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,NeuralNet,4.0,pca,one-hot,Aver_precision,0.4987978950457125
NeuralNet_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,NeuralNet,4.0,pca,one-hot,Balanced_accuracy,0.7543627694344462
NeuralNet_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,NeuralNet,4.0,pca,one-hot,train_time(s),85.71424388885498
NeuralNet_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,NeuralNet,4.0,pca,one-hot,pred_time(s),0.031830787658691406
NeuralNet_Adult_native-country_0_4_mhe,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,NeuralNet,4.0,mhe,one-hot,AUC,0.7577762220222581
NeuralNet_Adult_native-country_0_4_mhe,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,NeuralNet,4.0,mhe,one-hot,Accuracy,0.8420801201119225
NeuralNet_Adult_native-country_0_4_mhe,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,NeuralNet,4.0,mhe,one-hot,Precision,0.6902773137320414
NeuralNet_Adult_native-country_0_4_mhe,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,NeuralNet,4.0,mhe,one-hot,Recall,0.5983203011873733
NeuralNet_Adult_native-country_0_4_mhe,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,NeuralNet,4.0,mhe,one-hot,F1,0.641017685386286
NeuralNet_Adult_native-country_0_4_mhe,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,NeuralNet,4.0,mhe,one-hot,Aver_precision,0.5076633146131179
NeuralNet_Adult_native-country_0_4_mhe,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,NeuralNet,4.0,mhe,one-hot,Balanced_accuracy,0.7577762220222581
NeuralNet_Adult_native-country_0_4_mhe,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,NeuralNet,4.0,mhe,one-hot,train_time(s),92.16311383247375
NeuralNet_Adult_native-country_0_4_mhe,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,NeuralNet,4.0,mhe,one-hot,pred_time(s),0.03381967544555664
NeuralNet_Adult_native-country_1_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,1.0,NeuralNet,4.0,pca,one-hot,AUC,0.7799644204499315
NeuralNet_Adult_native-country_1_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,1.0,NeuralNet,4.0,pca,one-hot,Accuracy,0.8302736640960895
NeuralNet_Adult_native-country_1_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,1.0,NeuralNet,4.0,pca,one-hot,Precision,0.6372782631718295
NeuralNet_Adult_native-country_1_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,1.0,NeuralNet,4.0,pca,one-hot,Recall,0.6830306469920545
NeuralNet_Adult_native-country_1_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,1.0,NeuralNet,4.0,pca,one-hot,F1,0.659361731269689
