exp_key,ds_name,train_samples,train_dim,test_samples,test_dim,hc_name,fold,algo_name,J,hc_cat_encoder,other_cat_encoder,measure,performance,hc_cardinality,hc_card_rank,hc_samples_per_cat,hc_na_ratio,hc_positve_ratio,hc_mdi_imp,hc_perm_imp,hc_mdi_imp_rank,hc_mdi_imp_rank_cat,hc_perm_imp_rank,hc_perm_imp_rank_cat
NeuralNet_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,NeuralNet,4.0,pca,one-hot,AUC,0.7543627694344462,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.0179189284438145,0.0053888047172515,12.0,6.0,13.0,7.0
NeuralNet_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,NeuralNet,4.0,pca,one-hot,Accuracy,0.8377806592506654,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.0179189284438145,0.0053888047172515,12.0,6.0,13.0,7.0
NeuralNet_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,NeuralNet,4.0,pca,one-hot,Precision,0.6767411300919842,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.0179189284438145,0.0053888047172515,12.0,6.0,13.0,7.0
NeuralNet_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,NeuralNet,4.0,pca,one-hot,Recall,0.5965826817260353,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.0179189284438145,0.0053888047172515,12.0,6.0,13.0,7.0
NeuralNet_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,NeuralNet,4.0,pca,one-hot,F1,0.6341388333076805,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.0179189284438145,0.0053888047172515,12.0,6.0,13.0,7.0
NeuralNet_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,NeuralNet,4.0,pca,one-hot,Aver_precision,0.4987978950457125,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.0179189284438145,0.0053888047172515,12.0,6.0,13.0,7.0
NeuralNet_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,NeuralNet,4.0,pca,one-hot,Balanced_accuracy,0.7543627694344462,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.0179189284438145,0.0053888047172515,12.0,6.0,13.0,7.0
NeuralNet_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,NeuralNet,4.0,pca,one-hot,train_time(s),85.71424388885498,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.0179189284438145,0.0053888047172515,12.0,6.0,13.0,7.0
NeuralNet_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,NeuralNet,4.0,pca,one-hot,pred_time(s),0.0318307876586914,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.0179189284438145,0.0053888047172515,12.0,6.0,13.0,7.0
NeuralNet_Adult_native-country_0_4_mhe,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,NeuralNet,4.0,mhe,one-hot,AUC,0.7577762220222581,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.0179189284438145,0.0053888047172515,12.0,6.0,13.0,7.0
