exp_key,ds_name,train_samples,train_dim,test_samples,test_dim,hc_name,fold,algo_name,J,hc_cat_encoder,other_cat_encoder,measure,performance
RBFSVM_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,RBFSVM,4.0,pca,one-hot,AUC,0.7630893555293534
RBFSVM_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,RBFSVM,4.0,pca,one-hot,Accuracy,0.8564799017266089
RBFSVM_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,RBFSVM,4.0,pca,one-hot,Precision,0.75
RBFSVM_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,RBFSVM,4.0,pca,one-hot,Recall,0.5864465682015638
RBFSVM_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,RBFSVM,4.0,pca,one-hot,F1,0.6582155046318868
RBFSVM_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,RBFSVM,4.0,pca,one-hot,Aver_precision,0.5372893723396667
RBFSVM_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,RBFSVM,4.0,pca,one-hot,Balanced_accuracy,0.7630893555293534
RBFSVM_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,RBFSVM,4.0,pca,one-hot,train_time(s),56.0074348449707
RBFSVM_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,RBFSVM,4.0,pca,one-hot,pred_time(s),12.787741422653198
RBFSVM_Adult_native-country_0_4_mhe,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,RBFSVM,4.0,mhe,one-hot,AUC,0.7630893555293534
RBFSVM_Adult_native-country_0_4_mhe,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,RBFSVM,4.0,mhe,one-hot,Accuracy,0.8564799017266089
RBFSVM_Adult_native-country_0_4_mhe,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,RBFSVM,4.0,mhe,one-hot,Precision,0.75
RBFSVM_Adult_native-country_0_4_mhe,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,RBFSVM,4.0,mhe,one-hot,Recall,0.5864465682015638
RBFSVM_Adult_native-country_0_4_mhe,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,RBFSVM,4.0,mhe,one-hot,F1,0.6582155046318868
RBFSVM_Adult_native-country_0_4_mhe,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,RBFSVM,4.0,mhe,one-hot,Aver_precision,0.5372893723396667
RBFSVM_Adult_native-country_0_4_mhe,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,RBFSVM,4.0,mhe,one-hot,Balanced_accuracy,0.7630893555293534
RBFSVM_Adult_native-country_0_4_mhe,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,RBFSVM,4.0,mhe,one-hot,train_time(s),54.89934158325195
RBFSVM_Adult_native-country_0_4_mhe,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,RBFSVM,4.0,mhe,one-hot,pred_time(s),12.926424264907837
RBFSVM_Adult_native-country_1_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,1.0,RBFSVM,4.0,pca,one-hot,AUC,0.7615603959917382
RBFSVM_Adult_native-country_1_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,1.0,RBFSVM,4.0,pca,one-hot,Accuracy,0.85415955776974
RBFSVM_Adult_native-country_1_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,1.0,RBFSVM,4.0,pca,one-hot,Precision,0.7546823356591994
