exp_key,ds_name,train_samples,train_dim,test_samples,test_dim,hc_name,fold,algo_name,J,hc_cat_encoder,other_cat_encoder,measure,performance,hc_cardinality,hc_card_rank,hc_samples_per_cat,hc_na_ratio,hc_positve_ratio,hc_mdi_imp,hc_perm_imp,hc_mdi_imp_rank,hc_mdi_imp_rank_cat,hc_perm_imp_rank,hc_perm_imp_rank_cat
RBFSVM_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,RBFSVM,4.0,pca,one-hot,AUC,0.7630893555293534,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
RBFSVM_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,RBFSVM,4.0,pca,one-hot,Accuracy,0.8564799017266089,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
RBFSVM_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,RBFSVM,4.0,pca,one-hot,Precision,0.75,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
RBFSVM_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,RBFSVM,4.0,pca,one-hot,Recall,0.5864465682015638,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
RBFSVM_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,RBFSVM,4.0,pca,one-hot,F1,0.6582155046318868,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
RBFSVM_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,RBFSVM,4.0,pca,one-hot,Aver_precision,0.5372893723396667,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
RBFSVM_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,RBFSVM,4.0,pca,one-hot,Balanced_accuracy,0.7630893555293534,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
RBFSVM_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,RBFSVM,4.0,pca,one-hot,train_time(s),56.0074348449707,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
RBFSVM_Adult_native-country_0_4_pca,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,RBFSVM,4.0,pca,one-hot,pred_time(s),12.787741422653198,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
RBFSVM_Adult_native-country_0_4_mhe,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,RBFSVM,4.0,mhe,one-hot,AUC,0.7630893555293534,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
RBFSVM_Adult_native-country_0_4_mhe,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,RBFSVM,4.0,mhe,one-hot,Accuracy,0.8564799017266089,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
RBFSVM_Adult_native-country_0_4_mhe,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,RBFSVM,4.0,mhe,one-hot,Precision,0.75,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
RBFSVM_Adult_native-country_0_4_mhe,Adult,34189.0,68.0,14653.0,68.0,native-country,0.0,RBFSVM,4.0,mhe,one-hot,Recall,0.5864465682015638,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
