exp_key,ds_name,train_samples,train_dim,test_samples,test_dim,hc_name,fold,algo_name,J,hc_cat_encoder,other_cat_encoder,measure,performance
GBDT_Adult_native-country_0_42_TargetEncoder,Adult,34189.0,14.0,14653.0,14.0,native-country,0.0,GBDT,42.0,TargetEncoder,TargetEncoder,AUC,0.7841130900666087
GBDT_Adult_native-country_0_42_TargetEncoder,Adult,34189.0,14.0,14653.0,14.0,native-country,0.0,GBDT,42.0,TargetEncoder,TargetEncoder,Accuracy,0.8691735480788917
GBDT_Adult_native-country_0_42_TargetEncoder,Adult,34189.0,14.0,14653.0,14.0,native-country,0.0,GBDT,42.0,TargetEncoder,TargetEncoder,Precision,0.7774566473988439
GBDT_Adult_native-country_0_42_TargetEncoder,Adult,34189.0,14.0,14653.0,14.0,native-country,0.0,GBDT,42.0,TargetEncoder,TargetEncoder,Recall,0.6232261801332175
GBDT_Adult_native-country_0_42_TargetEncoder,Adult,34189.0,14.0,14653.0,14.0,native-country,0.0,GBDT,42.0,TargetEncoder,TargetEncoder,F1,0.69185018485774
GBDT_Adult_native-country_0_42_TargetEncoder,Adult,34189.0,14.0,14653.0,14.0,native-country,0.0,GBDT,42.0,TargetEncoder,TargetEncoder,Aver_precision,0.5733186156330428
GBDT_Adult_native-country_0_42_TargetEncoder,Adult,34189.0,14.0,14653.0,14.0,native-country,0.0,GBDT,42.0,TargetEncoder,TargetEncoder,Balanced_accuracy,0.7841130900666087
GBDT_Adult_native-country_0_42_TargetEncoder,Adult,34189.0,14.0,14653.0,14.0,native-country,0.0,GBDT,42.0,TargetEncoder,TargetEncoder,train_time(s),3.123697519302368
GBDT_Adult_native-country_0_42_TargetEncoder,Adult,34189.0,14.0,14653.0,14.0,native-country,0.0,GBDT,42.0,TargetEncoder,TargetEncoder,pred_time(s),0.01986384391784668
GBDT_Adult_native-country_1_42_TargetEncoder,Adult,34189.0,14.0,14653.0,14.0,native-country,1.0,GBDT,42.0,TargetEncoder,TargetEncoder,AUC,0.7820388317827593
GBDT_Adult_native-country_1_42_TargetEncoder,Adult,34189.0,14.0,14653.0,14.0,native-country,1.0,GBDT,42.0,TargetEncoder,TargetEncoder,Accuracy,0.8677403944584726
GBDT_Adult_native-country_1_42_TargetEncoder,Adult,34189.0,14.0,14653.0,14.0,native-country,1.0,GBDT,42.0,TargetEncoder,TargetEncoder,Precision,0.7871107892831282
GBDT_Adult_native-country_1_42_TargetEncoder,Adult,34189.0,14.0,14653.0,14.0,native-country,1.0,GBDT,42.0,TargetEncoder,TargetEncoder,Recall,0.6169125993189557
GBDT_Adult_native-country_1_42_TargetEncoder,Adult,34189.0,14.0,14653.0,14.0,native-country,1.0,GBDT,42.0,TargetEncoder,TargetEncoder,F1,0.6916958320076361
GBDT_Adult_native-country_1_42_TargetEncoder,Adult,34189.0,14.0,14653.0,14.0,native-country,1.0,GBDT,42.0,TargetEncoder,TargetEncoder,Aver_precision,0.577709867138444
GBDT_Adult_native-country_1_42_TargetEncoder,Adult,34189.0,14.0,14653.0,14.0,native-country,1.0,GBDT,42.0,TargetEncoder,TargetEncoder,Balanced_accuracy,0.7820388317827593
GBDT_Adult_native-country_1_42_TargetEncoder,Adult,34189.0,14.0,14653.0,14.0,native-country,1.0,GBDT,42.0,TargetEncoder,TargetEncoder,train_time(s),3.2243423461914062
