exp_key,ds_name,train_samples,train_dim,test_samples,test_dim,hc_name,fold,algo_name,J,hc_cat_encoder,other_cat_encoder,measure,performance
NeuralNet_Adult_native-country_0_42_one-hot,Adult,34189.0,105.0,14653.0,105.0,native-country,0.0,NeuralNet,42.0,one-hot,one-hot,AUC,0.7536204671920897
NeuralNet_Adult_native-country_0_42_one-hot,Adult,34189.0,105.0,14653.0,105.0,native-country,0.0,NeuralNet,42.0,one-hot,one-hot,Accuracy,0.8395550399235652
NeuralNet_Adult_native-country_0_42_one-hot,Adult,34189.0,105.0,14653.0,105.0,native-country,0.0,NeuralNet,42.0,one-hot,one-hot,Precision,0.6848993288590604
NeuralNet_Adult_native-country_0_42_one-hot,Adult,34189.0,105.0,14653.0,105.0,native-country,0.0,NeuralNet,42.0,one-hot,one-hot,Recall,0.5910802200984651
NeuralNet_Adult_native-country_0_42_one-hot,Adult,34189.0,105.0,14653.0,105.0,native-country,0.0,NeuralNet,42.0,one-hot,one-hot,F1,0.6345406497745997
NeuralNet_Adult_native-country_0_42_one-hot,Adult,34189.0,105.0,14653.0,105.0,native-country,0.0,NeuralNet,42.0,one-hot,one-hot,Aver_precision,0.50119296566786
NeuralNet_Adult_native-country_0_42_one-hot,Adult,34189.0,105.0,14653.0,105.0,native-country,0.0,NeuralNet,42.0,one-hot,one-hot,Balanced_accuracy,0.7536204671920896
NeuralNet_Adult_native-country_0_42_one-hot,Adult,34189.0,105.0,14653.0,105.0,native-country,0.0,NeuralNet,42.0,one-hot,one-hot,train_time(s),58.92835783958435
NeuralNet_Adult_native-country_0_42_one-hot,Adult,34189.0,105.0,14653.0,105.0,native-country,0.0,NeuralNet,42.0,one-hot,one-hot,pred_time(s),0.04088997840881348
NeuralNet_Adult_native-country_1_42_one-hot,Adult,34189.0,105.0,14653.0,105.0,native-country,1.0,NeuralNet,42.0,one-hot,one-hot,AUC,0.7636281905655165
NeuralNet_Adult_native-country_1_42_one-hot,Adult,34189.0,105.0,14653.0,105.0,native-country,1.0,NeuralNet,42.0,one-hot,one-hot,Accuracy,0.8349143520098273
NeuralNet_Adult_native-country_1_42_one-hot,Adult,34189.0,105.0,14653.0,105.0,native-country,1.0,NeuralNet,42.0,one-hot,one-hot,Precision,0.66696887277123
NeuralNet_Adult_native-country_1_42_one-hot,Adult,34189.0,105.0,14653.0,105.0,native-country,1.0,NeuralNet,42.0,one-hot,one-hot,Recall,0.6262769580022701
NeuralNet_Adult_native-country_1_42_one-hot,Adult,34189.0,105.0,14653.0,105.0,native-country,1.0,NeuralNet,42.0,one-hot,one-hot,F1,0.6459827308649203
NeuralNet_Adult_native-country_1_42_one-hot,Adult,34189.0,105.0,14653.0,105.0,native-country,1.0,NeuralNet,42.0,one-hot,one-hot,Aver_precision,0.5075864423447909
NeuralNet_Adult_native-country_1_42_one-hot,Adult,34189.0,105.0,14653.0,105.0,native-country,1.0,NeuralNet,42.0,one-hot,one-hot,Balanced_accuracy,0.7636281905655165
NeuralNet_Adult_native-country_1_42_one-hot,Adult,34189.0,105.0,14653.0,105.0,native-country,1.0,NeuralNet,42.0,one-hot,one-hot,train_time(s),73.73572587966919
NeuralNet_Adult_native-country_1_42_one-hot,Adult,34189.0,105.0,14653.0,105.0,native-country,1.0,NeuralNet,42.0,one-hot,one-hot,pred_time(s),0.03690195083618164
