exp_key,ds_name,train_samples,train_dim,test_samples,test_dim,hc_name,fold,algo_name,J,hc_cat_encoder,other_cat_encoder,measure,performance,hc_cardinality,hc_card_rank,hc_samples_per_cat,hc_na_ratio,hc_positve_ratio,hc_mdi_imp,hc_perm_imp,hc_mdi_imp_rank,hc_mdi_imp_rank_cat,hc_perm_imp_rank,hc_perm_imp_rank_cat
GBDT_Adult_native-country_0_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,0.0,GBDT,42.0,one-hot,TargetEncoder,AUC,0.7822632881345414,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_0_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,0.0,GBDT,42.0,one-hot,TargetEncoder,Accuracy,0.8678768852794649,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_0_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,0.0,GBDT,42.0,one-hot,TargetEncoder,Precision,0.7741235995663173,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_0_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,0.0,GBDT,42.0,one-hot,TargetEncoder,Recall,0.6203301476976543,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_0_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,0.0,GBDT,42.0,one-hot,TargetEncoder,F1,0.6887459807073956,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_0_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,0.0,GBDT,42.0,one-hot,TargetEncoder,Aver_precision,0.5696819400156583,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_0_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,0.0,GBDT,42.0,one-hot,TargetEncoder,Balanced_accuracy,0.7822632881345415,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_0_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,0.0,GBDT,42.0,one-hot,TargetEncoder,train_time(s),7.0511651039123535,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_0_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,0.0,GBDT,42.0,one-hot,TargetEncoder,pred_time(s),0.025899171829223636,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_1_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,1.0,GBDT,42.0,one-hot,TargetEncoder,AUC,0.7820979618954232,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
