exp_key,ds_name,train_samples,train_dim,test_samples,test_dim,hc_name,fold,algo_name,J,hc_cat_encoder,other_cat_encoder,measure,performance
GBDT_Adult_native-country_0_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,0.0,GBDT,4.0,mhe+te,TargetEncoder,AUC,0.7811048751603161
GBDT_Adult_native-country_0_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,0.0,GBDT,4.0,mhe+te,TargetEncoder,Accuracy,0.8673309219954958
GBDT_Adult_native-country_0_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,0.0,GBDT,4.0,mhe+te,TargetEncoder,Precision,0.7734686480608917
GBDT_Adult_native-country_0_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,0.0,GBDT,4.0,mhe+te,TargetEncoder,Recall,0.6180133217492035
GBDT_Adult_native-country_0_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,0.0,GBDT,4.0,mhe+te,TargetEncoder,F1,0.6870573084352866
GBDT_Adult_native-country_0_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,0.0,GBDT,4.0,mhe+te,TargetEncoder,Aver_precision,0.5680296249013914
GBDT_Adult_native-country_0_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,0.0,GBDT,4.0,mhe+te,TargetEncoder,Balanced_accuracy,0.781104875160316
GBDT_Adult_native-country_0_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,0.0,GBDT,4.0,mhe+te,TargetEncoder,train_time(s),3.3249552249908447
GBDT_Adult_native-country_0_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,0.0,GBDT,4.0,mhe+te,TargetEncoder,pred_time(s),0.019865036010742188
GBDT_Adult_native-country_1_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,1.0,GBDT,4.0,mhe+te,TargetEncoder,AUC,0.7817763670071207
GBDT_Adult_native-country_1_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,1.0,GBDT,4.0,mhe+te,TargetEncoder,Accuracy,0.8671944311745036
GBDT_Adult_native-country_1_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,1.0,GBDT,4.0,mhe+te,TargetEncoder,Precision,0.7846320346320347
GBDT_Adult_native-country_1_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,1.0,GBDT,4.0,mhe+te,TargetEncoder,Recall,0.6171963677639046
GBDT_Adult_native-country_1_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,1.0,GBDT,4.0,mhe+te,TargetEncoder,F1,0.6909148665819568
GBDT_Adult_native-country_1_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,1.0,GBDT,4.0,mhe+te,TargetEncoder,Aver_precision,0.5763351005653925
GBDT_Adult_native-country_1_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,1.0,GBDT,4.0,mhe+te,TargetEncoder,Balanced_accuracy,0.7817763670071207
GBDT_Adult_native-country_1_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,1.0,GBDT,4.0,mhe+te,TargetEncoder,train_time(s),3.323659658432007
