exp_key,ds_name,train_samples,train_dim,test_samples,test_dim,hc_name,fold,algo_name,J,hc_cat_encoder,other_cat_encoder,measure,performance,hc_cardinality,hc_card_rank,hc_samples_per_cat,hc_na_ratio,hc_positve_ratio,hc_mdi_imp,hc_perm_imp,hc_mdi_imp_rank,hc_mdi_imp_rank_cat,hc_perm_imp_rank,hc_perm_imp_rank_cat
GBDT_Adult_native-country_0_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,0.0,GBDT,4.0,mhe+te,TargetEncoder,AUC,0.7811048751603161,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.0179189284438145,0.0053888047172515,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_0_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,0.0,GBDT,4.0,mhe+te,TargetEncoder,Accuracy,0.8673309219954958,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.0179189284438145,0.0053888047172515,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_0_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,0.0,GBDT,4.0,mhe+te,TargetEncoder,Precision,0.7734686480608917,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.0179189284438145,0.0053888047172515,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_0_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,0.0,GBDT,4.0,mhe+te,TargetEncoder,Recall,0.6180133217492035,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.0179189284438145,0.0053888047172515,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_0_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,0.0,GBDT,4.0,mhe+te,TargetEncoder,F1,0.6870573084352866,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.0179189284438145,0.0053888047172515,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_0_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,0.0,GBDT,4.0,mhe+te,TargetEncoder,Aver_precision,0.5680296249013914,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.0179189284438145,0.0053888047172515,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_0_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,0.0,GBDT,4.0,mhe+te,TargetEncoder,Balanced_accuracy,0.781104875160316,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.0179189284438145,0.0053888047172515,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_0_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,0.0,GBDT,4.0,mhe+te,TargetEncoder,train_time(s),3.3249552249908447,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.0179189284438145,0.0053888047172515,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_0_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,0.0,GBDT,4.0,mhe+te,TargetEncoder,pred_time(s),0.0198650360107421,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.0179189284438145,0.0053888047172515,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_1_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,1.0,GBDT,4.0,mhe+te,TargetEncoder,AUC,0.7817763670071207,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.0179189284438145,0.0053888047172515,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_1_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,1.0,GBDT,4.0,mhe+te,TargetEncoder,Accuracy,0.8671944311745036,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.0179189284438145,0.0053888047172515,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_1_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,1.0,GBDT,4.0,mhe+te,TargetEncoder,Precision,0.7846320346320347,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.0179189284438145,0.0053888047172515,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_1_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,1.0,GBDT,4.0,mhe+te,TargetEncoder,Recall,0.6171963677639046,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.0179189284438145,0.0053888047172515,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_1_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,1.0,GBDT,4.0,mhe+te,TargetEncoder,F1,0.6909148665819568,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.0179189284438145,0.0053888047172515,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_1_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,1.0,GBDT,4.0,mhe+te,TargetEncoder,Aver_precision,0.5763351005653925,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.0179189284438145,0.0053888047172515,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_1_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,1.0,GBDT,4.0,mhe+te,TargetEncoder,Balanced_accuracy,0.7817763670071207,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.0179189284438145,0.0053888047172515,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_1_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,1.0,GBDT,4.0,mhe+te,TargetEncoder,train_time(s),3.323659658432007,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.0179189284438145,0.0053888047172515,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_1_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,1.0,GBDT,4.0,mhe+te,TargetEncoder,pred_time(s),0.0188302993774414,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.0179189284438145,0.0053888047172515,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_2_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,2.0,GBDT,4.0,mhe+te,TargetEncoder,AUC,0.7808306665857349,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.0179189284438145,0.0053888047172515,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_2_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,2.0,GBDT,4.0,mhe+te,TargetEncoder,Accuracy,0.8654200505016038,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.0179189284438145,0.0053888047172515,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_2_4_mhe+te,Adult,34189.0,14.0,14653.0,14.0,native-country,2.0,GBDT,4.0,mhe+te,TargetEncoder,Precision,0.7880629020729092,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.0179189284438145,0.0053888047172515,12.0,6.0,13.0,7.0
