ds_name,algo_name,J
Adult,DT,12.0
Adult,GBDT,21.0
Adult,LR,21.0
Adult,MLP,3.0
Adult,RF,3.0
Adult,SVM,21.0
Colleges,DT,17.0
Colleges,GBDT,17.0
Colleges,LR,17.0
Colleges,MLP,17.0
Colleges,RF,6.0
Colleges,SVM,17.0
Crime,DT,64.0
Crime,GBDT,64.0
Crime,LR,64.0
Crime,MLP,64.0
Crime,RF,64.0
Employ,DT,23.0
Employ,GBDT,77.0
Employ,LR,154.0
Employ,MLP,154.0
Employ,RF,77.0
Employ,SVM,154.0
Loan,DT,1258.0
Loan,GBDT,25.0
Loan,LR,37.0
Loan,MLP,12.0
Loan,RF,1573.0
Loan,SVM,12.0
Road,DT,114.0
Road,GBDT,6.0
Road,LR,6.0
Road,MLP,3.0
Road,RF,15.0
Road,SVM,3.0
Traffic,DT,210.0
Traffic,GBDT,210.0
Traffic,LR,210.0
Traffic,MLP,262.0
Traffic,RF,210.0
Traffic,SVM,210.0
Visa,DT,381.0
Visa,GBDT,381.0
Visa,LR,3.0
Visa,MLP,6.0
Visa,RF,381.0
Visa,SVM,45.0
