ds_name,algo_name,J,exp_key,train_samples,train_dim,test_samples,test_dim,hc_name,fold,hc_cat_encoder,other_cat_encoder,measure,performance,hc_cat_encoder_baseline,performance_baseline,relative_performance
Adult,DT,12.0,DT_Adult_native-country_0_12_pca,34189.0,25.0,14653.0,25.0,native-country,0.0,pca,TargetEncoder,AUC,0.7585842797153614,one-hot,0.7602131686732035,0.997857326043582
Adult,DT,12.0,DT_Adult_native-country_0_12_pca,34189.0,25.0,14653.0,25.0,native-country,0.0,pca,TargetEncoder,Accuracy,0.833822425441889,one-hot,0.8360062785777657,0.9973877551020408
Adult,DT,12.0,DT_Adult_native-country_0_12_pca,34189.0,25.0,14653.0,25.0,native-country,0.0,pca,TargetEncoder,Precision,0.6571957998764669,one-hot,0.6635514018691588,0.9904218392504502
Adult,DT,12.0,DT_Adult_native-country_0_12_pca,34189.0,25.0,14653.0,25.0,native-country,0.0,pca,TargetEncoder,Recall,0.6162757022878657,one-hot,0.6168549087749783,0.9990610328638498
Adult,DT,12.0,DT_Adult_native-country_0_12_pca,34189.0,25.0,14653.0,25.0,native-country,0.0,pca,TargetEncoder,F1,0.6360783141533403,one-hot,0.6393516434038721,0.994880236432795
Adult,DT,12.0,DT_Adult_native-country_0_12_pca,34189.0,25.0,14653.0,25.0,native-country,0.0,pca,TargetEncoder,Aver_precision,0.4954389720168962,one-hot,0.4996036175539076,0.9916641005175229
Adult,DT,12.0,DT_Adult_native-country_0_12_pca,34189.0,25.0,14653.0,25.0,native-country,0.0,pca,TargetEncoder,Balanced_accuracy,0.7585842797153615,one-hot,0.7602131686732034,0.997857326043582
Adult,DT,12.0,DT_Adult_native-country_0_12_pca,34189.0,25.0,14653.0,25.0,native-country,0.0,pca,TargetEncoder,train_time(s),0.2024226188659668,one-hot,0.3032882213592529,0.6674265751527221
Adult,DT,12.0,DT_Adult_native-country_0_12_pca,34189.0,25.0,14653.0,25.0,native-country,0.0,pca,TargetEncoder,pred_time(s),0.0029919147491455,one-hot,0.0038897991180419,0.7691694759424006
Adult,DT,12.0,DT_Adult_native-country_0_12_mhe,34189.0,25.0,14653.0,25.0,native-country,0.0,mhe,TargetEncoder,AUC,0.7594107479003764,one-hot,0.7602131686732035,0.9989444792514872
Adult,DT,12.0,DT_Adult_native-country_0_12_mhe,34189.0,25.0,14653.0,25.0,native-country,0.0,mhe,TargetEncoder,Accuracy,0.8353920698833004,one-hot,0.8360062785777657,0.999265306122449
Adult,DT,12.0,DT_Adult_native-country_0_12_mhe,34189.0,25.0,14653.0,25.0,native-country,0.0,mhe,TargetEncoder,Precision,0.6620990345686701,one-hot,0.6635514018691588,0.9978112211105312
Adult,DT,12.0,DT_Adult_native-country_0_12_mhe,34189.0,25.0,14653.0,25.0,native-country,0.0,mhe,TargetEncoder,Recall,0.6156964958007529,one-hot,0.6168549087749783,0.9981220657276996
Adult,DT,12.0,DT_Adult_native-country_0_12_mhe,34189.0,25.0,14653.0,25.0,native-country,0.0,mhe,TargetEncoder,F1,0.6380552220888355,one-hot,0.6393516434038721,0.997972287506552
Adult,DT,12.0,DT_Adult_native-country_0_12_mhe,34189.0,25.0,14653.0,25.0,native-country,0.0,mhe,TargetEncoder,Aver_precision,0.498213715185375,one-hot,0.4996036175539076,0.997217989782905
Adult,DT,12.0,DT_Adult_native-country_0_12_mhe,34189.0,25.0,14653.0,25.0,native-country,0.0,mhe,TargetEncoder,Balanced_accuracy,0.7594107479003764,one-hot,0.7602131686732034,0.9989444792514875
