ds_name,algo_name,J,exp_key,train_samples,train_dim,test_samples,test_dim,hc_name,fold,hc_cat_encoder,other_cat_encoder,measure,performance,hc_cat_encoder_baseline,performance_baseline,relative_performance
Adult,DT,2.0,DT_Adult_native-country_0_2_pca,34189.0,15.0,14653.0,15.0,native-country,0.0,pca,TargetEncoder,AUC,0.7626976929998759,one-hot,0.7602131686732035,1.0032681942763615
Adult,DT,2.0,DT_Adult_native-country_0_2_pca,34189.0,15.0,14653.0,15.0,native-country,0.0,pca,TargetEncoder,Accuracy,0.8375076776086808,one-hot,0.8360062785777657,1.001795918367347
Adult,DT,2.0,DT_Adult_native-country_0_2_pca,34189.0,15.0,14653.0,15.0,native-country,0.0,pca,TargetEncoder,Precision,0.6665630826600373,one-hot,0.6635514018691588,1.0045387302059716
Adult,DT,2.0,DT_Adult_native-country_0_2_pca,34189.0,15.0,14653.0,15.0,native-country,0.0,pca,TargetEncoder,Recall,0.6211989574283232,one-hot,0.6168549087749783,1.0070422535211268
Adult,DT,2.0,DT_Adult_native-country_0_2_pca,34189.0,15.0,14653.0,15.0,native-country,0.0,pca,TargetEncoder,F1,0.6430819967021436,one-hot,0.6393516434038721,1.0058345877996204
Adult,DT,2.0,DT_Adult_native-country_0_2_pca,34189.0,15.0,14653.0,15.0,native-country,0.0,pca,TargetEncoder,Aver_precision,0.5033332889375809,one-hot,0.4996036175539076,1.00746526096415
Adult,DT,2.0,DT_Adult_native-country_0_2_pca,34189.0,15.0,14653.0,15.0,native-country,0.0,pca,TargetEncoder,Balanced_accuracy,0.7626976929998759,one-hot,0.7602131686732034,1.0032681942763615
Adult,DT,2.0,DT_Adult_native-country_0_2_pca,34189.0,15.0,14653.0,15.0,native-country,0.0,pca,TargetEncoder,train_time(s),0.2024288177490234,one-hot,0.3032882213592529,0.6674470140706228
Adult,DT,2.0,DT_Adult_native-country_0_2_pca,34189.0,15.0,14653.0,15.0,native-country,0.0,pca,TargetEncoder,pred_time(s),0.0020172595977783,one-hot,0.0038897991180419,0.5186025130248308
Adult,DT,2.0,DT_Adult_native-country_0_2_mhe,34189.0,15.0,14653.0,15.0,native-country,0.0,mhe,TargetEncoder,AUC,0.7558605482809979,one-hot,0.7602131686732035,0.994274473829752
Adult,DT,2.0,DT_Adult_native-country_0_2_mhe,34189.0,15.0,14653.0,15.0,native-country,0.0,mhe,TargetEncoder,Accuracy,0.8353238244728042,one-hot,0.8360062785777657,0.9991836734693876
Adult,DT,2.0,DT_Adult_native-country_0_2_mhe,34189.0,15.0,14653.0,15.0,native-country,0.0,mhe,TargetEncoder,Precision,0.6654996817313813,one-hot,0.6635514018691588,1.0029361400740535
Adult,DT,2.0,DT_Adult_native-country_0_2_mhe,34189.0,15.0,14653.0,15.0,native-country,0.0,mhe,TargetEncoder,Recall,0.6055603822762815,one-hot,0.6168549087749783,0.9816901408450704
Adult,DT,2.0,DT_Adult_native-country_0_2_mhe,34189.0,15.0,14653.0,15.0,native-country,0.0,mhe,TargetEncoder,F1,0.6341167551175133,one-hot,0.6393516434038721,0.9918121923352092
Adult,DT,2.0,DT_Adult_native-country_0_2_mhe,34189.0,15.0,14653.0,15.0,native-country,0.0,mhe,TargetEncoder,Aver_precision,0.4959504907697473,one-hot,0.4996036175539076,0.9926879496949076
Adult,DT,2.0,DT_Adult_native-country_0_2_mhe,34189.0,15.0,14653.0,15.0,native-country,0.0,mhe,TargetEncoder,Balanced_accuracy,0.7558605482809979,one-hot,0.7602131686732034,0.994274473829752
Adult,DT,2.0,DT_Adult_native-country_0_2_mhe,34189.0,15.0,14653.0,15.0,native-country,0.0,mhe,TargetEncoder,train_time(s),0.2025542259216308,one-hot,0.3032882213592529,0.6678605091020003
Adult,DT,2.0,DT_Adult_native-country_0_2_mhe,34189.0,15.0,14653.0,15.0,native-country,0.0,mhe,TargetEncoder,pred_time(s),0.0018928050994873,one-hot,0.0038897991180419,0.4866074164879049
Adult,DT,2.0,DT_Adult_native-country_1_2_pca,34189.0,15.0,14653.0,15.0,native-country,1.0,pca,TargetEncoder,AUC,0.7585674663111346,one-hot,0.7572692046395542,1.0017143991378843
Adult,DT,2.0,DT_Adult_native-country_1_2_pca,34189.0,15.0,14653.0,15.0,native-country,1.0,pca,TargetEncoder,Accuracy,0.8362110148092541,one-hot,0.8360062785777657,1.0002448979591836
Adult,DT,2.0,DT_Adult_native-country_1_2_pca,34189.0,15.0,14653.0,15.0,native-country,1.0,pca,TargetEncoder,Precision,0.67739898989899,one-hot,0.6781061328249126,0.9989571795745648
Adult,DT,2.0,DT_Adult_native-country_1_2_pca,34189.0,15.0,14653.0,15.0,native-country,1.0,pca,TargetEncoder,Recall,0.6089670828603859,one-hot,0.6055618615209989,1.0056232427366447
Adult,DT,2.0,DT_Adult_native-country_1_2_pca,34189.0,15.0,14653.0,15.0,native-country,1.0,pca,TargetEncoder,F1,0.6413628212791392,one-hot,0.6397841403087993,1.0024675212636218
Adult,DT,2.0,DT_Adult_native-country_1_2_pca,34189.0,15.0,14653.0,15.0,native-country,1.0,pca,TargetEncoder,Aver_precision,0.5065558624750466,one-hot,0.5054963326919001,1.0020960187337151
Adult,DT,2.0,DT_Adult_native-country_1_2_pca,34189.0,15.0,14653.0,15.0,native-country,1.0,pca,TargetEncoder,Balanced_accuracy,0.7585674663111346,one-hot,0.7572692046395542,1.0017143991378843
Adult,DT,2.0,DT_Adult_native-country_1_2_pca,34189.0,15.0,14653.0,15.0,native-country,1.0,pca,TargetEncoder,train_time(s),0.2015585899353027,one-hot,0.3032491207122803,0.6646633944457154
