ds_name,algo_name,hc_cat_encoder,J,exp_key,train_samples,train_dim,test_samples,test_dim,hc_name,fold,other_cat_encoder,measure,performance,hc_cat_encoder_baseline,performance_baseline,relative_performance
Adult,DT,mhe,2.0,DT_Adult_native-country_0_2_mhe,34189.0,15.0,14653.0,15.0,native-country,0.0,TargetEncoder,AUC,0.7558605482809979,one-hot,0.7602131686732035,0.994274473829752
Adult,DT,mhe,2.0,DT_Adult_native-country_0_2_mhe,34189.0,15.0,14653.0,15.0,native-country,0.0,TargetEncoder,Accuracy,0.8353238244728042,one-hot,0.8360062785777657,0.9991836734693876
Adult,DT,mhe,2.0,DT_Adult_native-country_0_2_mhe,34189.0,15.0,14653.0,15.0,native-country,0.0,TargetEncoder,Precision,0.6654996817313813,one-hot,0.6635514018691588,1.0029361400740535
Adult,DT,mhe,2.0,DT_Adult_native-country_0_2_mhe,34189.0,15.0,14653.0,15.0,native-country,0.0,TargetEncoder,Recall,0.6055603822762815,one-hot,0.6168549087749783,0.9816901408450704
Adult,DT,mhe,2.0,DT_Adult_native-country_0_2_mhe,34189.0,15.0,14653.0,15.0,native-country,0.0,TargetEncoder,F1,0.6341167551175133,one-hot,0.6393516434038721,0.9918121923352092
Adult,DT,mhe,2.0,DT_Adult_native-country_0_2_mhe,34189.0,15.0,14653.0,15.0,native-country,0.0,TargetEncoder,Aver_precision,0.4959504907697473,one-hot,0.4996036175539076,0.9926879496949076
Adult,DT,mhe,2.0,DT_Adult_native-country_0_2_mhe,34189.0,15.0,14653.0,15.0,native-country,0.0,TargetEncoder,Balanced_accuracy,0.7558605482809979,one-hot,0.7602131686732034,0.994274473829752
Adult,DT,mhe,2.0,DT_Adult_native-country_0_2_mhe,34189.0,15.0,14653.0,15.0,native-country,0.0,TargetEncoder,train_time(s),0.2025542259216308,one-hot,0.3032882213592529,0.6678605091020003
Adult,DT,mhe,2.0,DT_Adult_native-country_0_2_mhe,34189.0,15.0,14653.0,15.0,native-country,0.0,TargetEncoder,pred_time(s),0.0018928050994873,one-hot,0.0038897991180419,0.4866074164879049
Adult,DT,mhe,2.0,DT_Adult_native-country_1_2_mhe,34189.0,15.0,14653.0,15.0,native-country,1.0,TargetEncoder,AUC,0.7569286264097776,one-hot,0.7572692046395542,0.9995502547473344
Adult,DT,mhe,2.0,DT_Adult_native-country_1_2_mhe,34189.0,15.0,14653.0,15.0,native-country,1.0,TargetEncoder,Accuracy,0.8369617143247117,one-hot,0.8360062785777657,1.0011428571428571
Adult,DT,mhe,2.0,DT_Adult_native-country_1_2_mhe,34189.0,15.0,14653.0,15.0,native-country,1.0,TargetEncoder,Precision,0.6823000321233537,one-hot,0.6781061328249126,1.0061847240357047
Adult,DT,mhe,2.0,DT_Adult_native-country_1_2_mhe,34189.0,15.0,14653.0,15.0,native-country,1.0,TargetEncoder,Recall,0.6027241770715096,one-hot,0.6055618615209989,0.9953139643861292
Adult,DT,mhe,2.0,DT_Adult_native-country_1_2_mhe,34189.0,15.0,14653.0,15.0,native-country,1.0,TargetEncoder,F1,0.6400482145547688,one-hot,0.6397841403087993,1.000412755223726
Adult,DT,mhe,2.0,DT_Adult_native-country_1_2_mhe,34189.0,15.0,14653.0,15.0,native-country,1.0,TargetEncoder,Aver_precision,0.5067823000720147,one-hot,0.5054963326919001,1.002543969751999
Adult,DT,mhe,2.0,DT_Adult_native-country_1_2_mhe,34189.0,15.0,14653.0,15.0,native-country,1.0,TargetEncoder,Balanced_accuracy,0.7569286264097776,one-hot,0.7572692046395542,0.9995502547473344
Adult,DT,mhe,2.0,DT_Adult_native-country_1_2_mhe,34189.0,15.0,14653.0,15.0,native-country,1.0,TargetEncoder,train_time(s),0.2025537490844726,one-hot,0.3032491207122803,0.6679450499599422
Adult,DT,mhe,2.0,DT_Adult_native-country_1_2_mhe,34189.0,15.0,14653.0,15.0,native-country,1.0,TargetEncoder,pred_time(s),0.0018930435180664,one-hot,0.0039219856262207,0.4826747720364729
Adult,DT,mhe,2.0,DT_Adult_native-country_2_2_mhe,34189.0,15.0,14653.0,15.0,native-country,2.0,TargetEncoder,AUC,0.7635464064496406,one-hot,0.7654715641253566,0.9974850043215966
