ds_name,algo_name,J
Adult,DT,2.0
Adult,GBDT,21.0
Adult,LR,8.0
Adult,MLP,3.0
Adult,RF,3.0
Adult,SVM,21.0
Colleges,DT,6.0
Colleges,GBDT,17.0
Colleges,LR,6.0
Colleges,MLP,10.0
Colleges,RF,2.0
Colleges,SVM,3.0
Crime,DT,64.0
Crime,GBDT,64.0
Crime,LR,38.0
Crime,MLP,2.0
Crime,RF,64.0
Employ,DT,192.0
Employ,GBDT,192.0
Employ,LR,192.0
Employ,MLP,4.0
Employ,RF,192.0
Employ,SVM,192.0
Loan,DT,1573.0
Loan,GBDT,1573.0
Loan,LR,1573.0
Loan,MLP,251.0
Loan,RF,1573.0
Loan,SVM,1573.0
Road,DT,190.0
Road,GBDT,190.0
Road,LR,190.0
Road,MLP,38.0
Road,RF,190.0
Road,SVM,190.0
Traffic,DT,262.0
Traffic,GBDT,262.0
Traffic,LR,262.0
Traffic,MLP,262.0
Traffic,RF,262.0
Traffic,SVM,262.0
Visa,DT,381.0
Visa,GBDT,381.0
Visa,LR,381.0
Visa,MLP,305.0
Visa,RF,381.0
Visa,SVM,381.0
